TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20130909131394,78,4,47,2,0,5,-1,0,0,0,0
20130909131467,85,3,33,-1,0,2,-1,60,0,0,-1
20130909131527,80,3,20,-1,1,2,2,0,0,0,-1
20130909131562,65,3,42,-1,0,3,-1,42,0,0,-1
20130909131610,79,1,33,-1,0,2,-1,0,0,0,-1
20130909131610,80,1,34,-1,0,3,-1,0,0,0,-1
20130909132126,72,3,33,-1,0,2,-1,0,0,0,-1
20130909132305,80,4,20,5,1,2,2,0,0,0,0
20130909132342,78,4,48,10,0,2,-1,0,0,0,0
20130909132390,85,3,34,-1,0,3,-1,60,0,0,-1
20130909132390,85,4,39,2,0,4,-1,60,0,0,0
20130909132517,85,4,33,7,0,2,-1,60,0,0,0
20131008130903,45,1,56,-1,0,6,-1,0,0,0,-1
20131008130934,85,3,47,-1,0,4,-1,60,0,0,-1
20131008130942,80,4,47,3,0,5,-1,60,0,0,0
20131008130942,85,4,48,3,0,6,-1,60,0,0,0
20131008130996,85,1,56,-1,0,3,-1,60,0,0,-1
20131008130996,85,1,56,-1,0,4,-1,0,0,0,-1
20131008131268,77,4,35,2,0,2,-1,0,0,0,0
20131008131374,70,4,47,6,0,5,-1,0,0,0,0
20131008131435,78,4,33,3,0,2,-1,0,0,0,0
20131008131435,77,4,34,3,0,3,-1,0,0,0,0
20131008131702,80,4,24,4,1,3,3,0,0,0,0
20131008131728,68,4,24,4,1,3,3,0,0,0,0
20131008131761,80,4,33,3,0,2,-1,60,0,0,0
20131008131794,80,4,34,3,0,3,-1,60,0,0,0
20131008132149,77,2,33,-1,0,2,-1,0,0,0,-1
20131008132191,85,4,33,10,0,3,-1,60,0,0,0
20131009130014,80,4,49,2,0,2,-1,0,0,0,0
20131009130062,85,4,44,6,0,3,-1,0,0,0,0
20131009130139,74,4,43,2,0,2,-1,0,0,0,0
20131009130139,60,4,43,2,0,3,-1,0,0,0,0
20131009130501,80,1,49,-1,0,3,-1,61,0,0,-1
20131009130519,85,4,33,8,0,2,-1,60,0,0,0
20131009130525,80,4,39,2,0,3,-1,0,0,0,0
20131009130525,80,4,40,2,0,4,-1,60,0,0,0
20131009130576,85,4,39,5,0,2,-1,60,0,0,0
20131009130584,85,4,33,10,0,6,-1,60,0,0,0
20131009130586,85,4,33,5,0,5,-1,60,0,0,0
20131009130625,85,4,39,5,0,3,-1,60,0,0,0
20131009130628,70,2,33,-1,0,5,-1,0,0,0,-1
20131009130662,80,4,41,4,0,3,-1,60,0,0,0
20131009130662,85,4,44,2,0,4,-1,0,0,0,0
20131009130662,85,1,44,-1,0,5,-1,60,0,0,-1
20131009130671,85,4,47,5,0,6,-1,60,0,0,0
20131009130679,80,4,43,3,0,5,-1,60,0,0,0
20131009130737,85,4,49,5,0,2,-1,60,0,0,0
20131009130749,80,4,43,10,0,4,-1,0,0,0,0
20131009130749,75,4,43,10,0,5,-1,0,0,0,0
20131009130762,85,4,33,2,0,2,-1,0,0,0,0
20131009130887,85,4,43,10,0,4,-1,60,0,0,0
20131009130887,80,4,43,10,0,5,-1,0,0,0,0
20131009130887,70,4,43,10,0,6,-1,0,0,0,0
20131009130887,70,4,43,10,0,7,-1,0,0,0,0
20131009130887,70,4,43,10,0,8,-1,0,0,0,0
20131009130893,60,4,44,5,0,12,-1,0,0,0,0
20131009130924,75,1,33,-1,0,5,-1,0,0,0,-1
20131009131018,80,3,33,-1,0,3,-1,60,0,0,-1
20131009131018,85,3,34,-1,0,4,-1,60,0,0,-1
20131009131073,85,2,56,-1,0,4,-1,60,0,0,-1
20131009131113,68,4,33,3,0,4,-1,0,0,0,0
20131009131117,59,4,39,3,0,5,-1,0,0,0,0
20131009131131,85,1,42,-1,0,3,-1,60,0,0,-1
20131009131168,80,4,24,5,1,2,2,0,0,0,0
20131009131204,78,1,44,-1,0,6,-1,0,0,0,-1
20131009131204,60,1,56,-1,0,7,-1,0,0,0,-1
20131009131204,73,4,34,2,0,8,-1,0,0,0,0
20131009131204,55,2,44,-1,0,9,-1,0,0,0,-1
20131009131231,79,4,43,2,0,3,-1,0,0,0,0
20131009131292,64,4,34,2,0,5,-1,0,0,0,0
20131009131299,80,4,33,2,0,6,-1,60,0,0,0
20131009131303,80,4,40,6,0,4,-1,60,0,0,0
20131009131364,85,4,33,20,0,4,-1,60,0,0,0
20131009131366,85,4,33,3,0,3,-1,60,0,0,42
20131009131367,85,1,47,-1,0,3,-1,60,0,0,-1
20131009131367,85,2,48,-1,0,4,-1,60,0,0,-1
20131009131370,66,2,43,-1,0,5,-1,0,0,0,-1
20131009131370,76,1,43,-1,0,6,-1,0,0,0,-1
20131009131370,85,2,43,-1,0,7,-1,60,0,0,-1
20131009131384,85,1,39,-1,0,5,-1,60,0,0,-1
20131009131384,85,1,40,-1,0,6,-1,60,0,0,-1
20131009131392,80,4,33,11,0,3,-1,60,0,0,0
20131009131392,77,4,56,2,0,4,-1,0,0,0,0
20131009131392,75,4,56,2,0,5,-1,0,0,0,0
20131009131458,74,4,38,5,0,2,-1,0,0,0,0
20131009131460,79,4,24,9,1,2,2,0,0,0,0
20131009131496,62,4,34,2,0,3,-1,0,0,0,0
20131009131500,67,4,33,5,0,2,-1,0,0,0,0
20131009131507,80,4,43,3,0,5,-1,61,0,0,42
20131009131519,69,2,43,-1,0,4,-1,0,0,0,-1
20131009131519,66,4,38,2,0,5,-1,0,0,0,0
20131009131566,80,3,48,-1,0,6,-1,60,0,0,-1
20131009131566,80,3,47,-1,0,7,-1,60,0,0,-1
20131009131595,70,2,43,-1,0,4,-1,0,0,0,-1
20131009131603,80,1,47,-1,0,5,-1,60,0,0,-1
20131009131622,85,3,38,-1,0,2,-1,60,0,0,-1
20131009131633,85,2,34,-1,0,7,-1,60,0,0,-1
20131009131642,76,4,20,9,1,2,2,0,0,0,0
20131009131680,65,2,56,-1,0,3,-1,0,0,0,-1
20131009131690,80,4,40,4,0,4,-1,0,0,0,0
20131009131700,67,2,24,-1,1,2,2,0,0,0,-1
20131009131710,80,4,33,4,0,6,-1,60,0,0,0
20131009131738,85,3,34,-1,0,5,-1,60,0,0,-1
20131009131738,74,3,33,-1,0,6,-1,0,0,0,-1
20131009131770,70,1,56,-1,0,2,-1,0,0,0,-1
20131009131770,70,1,56,-1,0,3,-1,0,0,0,-1
20131009131770,70,1,56,-1,0,4,-1,0,0,0,-1
20131009131770,70,1,56,-1,0,5,-1,0,0,0,-1
20131009131770,70,1,56,-1,0,6,-1,0,0,0,-1
20131009131777,85,4,33,5,0,3,-1,60,0,0,0
20131009131868,73,1,33,-1,0,3,-1,0,0,0,-1
20131009131868,44,2,43,-1,0,4,-1,0,0,0,-1
20131009131882,85,1,43,-1,0,2,-1,0,0,0,-1
20131009131895,85,4,44,2,0,3,-1,60,0,0,0
20131009131926,85,4,24,5,1,3,3,0,0,0,0
20131009131933,56,1,33,-1,0,4,-1,0,0,0,-1
20131009131933,63,3,39,-1,0,5,-1,0,0,0,-1
20131009131933,65,4,40,2,0,6,-1,0,0,0,0
20131009132028,85,4,41,7,0,3,-1,60,0,0,0
20131009132038,74,4,47,4,0,5,-1,0,0,0,0
20131009132067,67,4,33,10,0,6,-1,0,0,0,0
20131009132067,65,4,34,3,0,7,-1,0,0,0,0
20131009132069,79,1,34,-1,0,5,-1,0,0,0,-1
20131009132079,80,4,33,4,0,4,-1,60,0,0,0
20131009132101,80,4,34,8,0,6,-1,60,0,0,0
20131009132138,70,1,20,-1,1,2,2,0,0,0,-1
20131009132161,85,4,43,2,0,2,-1,60,0,0,0
20131009132176,55,4,43,3,0,3,-1,0,0,0,0
20131009132231,85,2,47,-1,0,5,-1,60,0,0,-1
20131009132231,85,2,48,-1,0,6,-1,60,0,0,-1
20131009132270,80,4,34,2,0,4,-1,60,0,0,0
20131009132273,80,4,24,2,1,2,2,0,0,0,0
20131009132292,75,3,39,-1,0,5,-1,0,0,0,-1
20131009132314,85,4,49,4,0,3,-1,60,0,0,0
20131009132329,78,3,33,-1,0,3,-1,0,0,0,-1
20131009132341,73,4,33,5,0,5,-1,0,0,0,0
20131009132359,72,1,44,-1,0,2,-1,0,0,0,-1
20131009132364,80,4,34,20,0,4,-1,60,0,0,0
20131009132364,75,4,20,15,1,2,2,0,0,0,0
20131009132365,85,2,40,-1,0,3,-1,60,0,0,-1
20131009132380,71,4,20,4,1,2,2,0,0,0,0
20131009132407,55,4,41,2,0,5,-1,0,0,0,0
20131009132407,54,1,34,-1,0,6,-1,0,0,0,-1
20131009132428,68,2,26,-1,1,2,2,0,0,0,-1
20131009132434,85,4,33,2,0,2,-1,60,0,0,0
20131009132438,85,4,47,4,0,5,-1,0,0,0,0
20131009132444,80,4,43,2,0,3,-1,60,0,0,0
20131009132444,80,4,43,2,0,4,-1,60,0,0,0
20131009132446,80,4,26,4,1,5,5,0,0,0,0
20131009132449,85,4,39,20,0,3,-1,60,0,0,0
20131009132510,85,4,24,2,1,2,2,0,0,0,0
20131009132516,80,1,48,-1,0,4,-1,0,0,0,-1
20131009132518,65,4,34,5,0,5,-1,0,0,0,0
20131009132521,80,4,40,10,0,5,-1,60,0,0,0
20131010130106,80,4,34,3,0,4,-1,60,0,0,0
20131010130788,80,3,47,-1,0,2,-1,0,0,0,-1
20131010130997,66,4,43,5,0,3,-1,0,0,0,0
20131010131070,85,3,26,-1,1,3,3,0,0,0,-1
20131010131070,85,3,26,-1,1,4,4,0,0,0,-1
20131010131151,85,3,33,-1,0,2,-1,60,0,0,-1
20131010131258,85,4,33,30,0,4,-1,60,0,0,0
20131010131388,80,2,43,-1,0,3,-1,0,0,0,-1
20131010131522,85,4,56,4,0,8,-1,60,0,0,0
20131010131864,78,4,44,2,0,6,-1,0,0,0,0
20131010131864,75,4,44,2,0,7,-1,0,0,0,0
20131010131864,65,3,44,-1,0,8,-1,0,0,0,-1
20131010132142,85,4,56,18,0,2,-1,60,0,0,0
20131010132142,85,4,56,11,0,3,-1,61,0,0,0
20131108130722,62,4,39,12,0,3,-1,0,0,0,0
20131108130798,80,2,24,-1,1,2,2,0,0,0,-1
20131108132209,85,4,43,15,0,4,-1,60,0,0,0
20131108132209,80,4,43,15,0,5,-1,60,0,0,0
20131108132482,85,4,34,2,0,4,-1,60,0,0,0
20131108132520,71,4,47,7,0,3,-1,0,0,0,0
20131109130524,49,4,56,5,0,4,-1,0,0,0,0
20131109130538,52,4,33,6,0,6,-1,0,0,0,0
20131109130541,66,2,33,-1,0,4,-1,0,0,0,-1
20131109130541,68,4,34,3,0,5,-1,0,0,0,0
20131109130549,85,4,33,3,0,3,-1,60,0,0,0
20131109130555,73,4,43,2,0,2,-1,0,0,0,0
20131109130606,85,3,33,-1,0,3,-1,60,0,0,-1
20131109130610,80,4,33,3,0,2,-1,60,0,0,42
20131109130617,85,4,47,3,0,4,-1,60,0,0,0
20131109130792,64,4,34,2,0,3,-1,0,0,0,0
20131109130803,75,3,26,-1,1,5,5,0,0,0,-1
20131109130804,85,1,56,-1,0,6,-1,0,0,0,-1
20131109130804,85,1,56,-1,0,7,-1,0,0,0,-1
20131109130850,85,1,20,-1,1,2,2,0,0,0,-1
20131109130871,66,3,47,-1,0,5,-1,0,0,0,-1
20131109130929,69,4,40,10,0,6,-1,0,0,0,0
20131109131052,77,2,41,-1,0,7,-1,0,0,0,-1
20131109131120,70,4,47,2,0,5,-1,0,0,0,0
20131109131120,76,4,48,2,0,6,-1,0,0,0,0
20131109131167,68,4,47,2,0,10,-1,0,0,0,0
20131109131167,72,4,48,2,0,11,-1,0,0,0,0
20131109131176,80,4,47,3,0,5,-1,0,0,0,0
20131109131188,78,4,47,3,0,5,-1,0,0,0,0
20131109131276,79,4,41,5,0,4,-1,0,0,0,0
20131109131276,80,3,42,-1,0,5,-1,0,0,0,-1
20131109131285,73,4,40,10,0,7,-1,0,0,0,0
20131109131300,80,3,33,-1,0,4,-1,60,0,0,-1
20131109131363,85,1,26,-1,1,7,7,0,0,0,-1
20131109131465,85,4,24,8,1,4,4,0,0,0,0
20131109131474,70,4,44,18,0,2,-1,0,0,0,0
20131109131474,74,4,44,18,0,3,-1,0,0,0,0
20131109131491,80,4,34,3,0,6,-1,60,42,0,42
20131109131623,67,4,33,5,0,5,-1,0,0,0,0
20131109131623,68,1,34,-1,0,6,-1,0,0,0,-1
20131109131630,85,1,33,-1,0,3,-1,60,0,0,-1
20131109131743,80,4,33,5,0,5,-1,60,0,0,0
20131109131743,85,4,34,5,0,6,-1,60,0,0,0
20131109131829,70,4,47,6,0,5,-1,0,0,0,0
20131109131829,73,4,47,6,0,6,-1,0,0,0,0
20131109131890,85,4,24,5,1,4,4,0,0,0,0
20131109131899,85,3,56,-1,0,5,-1,60,0,0,-1
20131109131950,78,2,42,-1,0,6,-1,0,0,0,-1
20131109132227,79,4,43,3,0,3,-1,0,0,0,0
20131109132522,85,4,47,5,0,4,-1,60,0,0,0
20131110130006,79,2,24,-1,1,2,2,0,0,0,-1
20131110130012,68,4,33,20,0,5,-1,0,0,0,0
20131110130026,70,4,33,66,0,2,-1,0,0,0,0
20131110130026,75,4,34,10,0,3,-1,0,0,0,0
20131110130026,85,4,43,3,0,4,-1,60,0,0,0
20131110130026,60,4,44,2,0,5,-1,0,0,0,0
20131110130089,85,4,48,3,0,3,-1,60,0,0,0
20131110130128,68,4,33,3,0,5,-1,0,0,0,0
20131110130516,71,3,48,-1,0,6,-1,0,0,0,-1
20131110130516,72,3,47,-1,0,7,-1,0,0,0,-1
20131110130516,45,1,49,-1,0,8,-1,0,0,0,-1
20131110130519,71,2,35,-1,0,2,-1,0,0,0,-1
20131110130539,58,1,34,-1,0,5,-1,0,0,0,-1
20131110130539,80,4,47,2,0,6,-1,60,0,0,0
20131110130548,63,4,33,2,0,6,-1,0,0,0,0
20131110130548,64,4,34,2,0,7,-1,0,0,0,0
20131110130598,80,2,33,-1,0,2,-1,0,0,0,-1
20131110130598,85,3,44,-1,0,3,-1,0,0,0,-1
20131110130667,73,2,24,-1,1,2,2,0,0,0,-1
20131110130667,68,2,24,-1,1,3,3,0,0,0,-1
20131110130682,85,3,41,-1,0,3,-1,61,0,0,-1
20131110130682,85,3,47,-1,0,4,-1,61,0,0,-1
20131110130700,70,1,33,-1,0,2,-1,0,0,0,-1
20131110130706,73,4,33,2,0,2,-1,0,0,0,0
20131110130706,76,4,34,2,0,3,-1,0,0,0,0
20131110130761,78,4,33,15,0,2,-1,0,0,0,0
20131110130765,85,1,33,-1,0,2,-1,60,0,0,-1
20131110130768,65,4,43,2,0,4,-1,0,0,0,0
20131110130768,65,4,43,2,0,5,-1,0,0,0,0
20131110130768,65,4,43,2,0,6,-1,0,0,0,0
20131110130768,65,4,43,2,0,7,-1,0,0,0,0
20131110130768,65,4,43,2,0,8,-1,0,0,0,0
20131110130776,85,3,44,-1,0,5,-1,60,0,0,-1
20131110130782,85,4,47,4,0,5,-1,60,0,0,0
20131110130805,80,4,33,3,0,6,-1,60,0,0,0
20131110130828,79,4,33,2,0,5,-1,0,0,0,0
20131110130835,80,4,33,10,0,6,-1,60,0,0,0
20131110130851,80,4,56,15,0,4,-1,60,0,0,0
20131110130854,85,4,34,2,0,3,-1,60,0,0,0
20131110130906,54,4,34,2,0,5,-1,0,0,0,0
20131110130908,67,4,33,2,0,2,-1,0,0,0,0
20131110130908,70,4,34,2,0,3,-1,0,0,0,0
20131110130966,50,3,33,-1,0,5,-1,0,0,0,-1
20131110130980,85,4,48,2,0,4,-1,60,0,0,0
20131110130989,80,4,26,6,1,2,2,0,0,0,0
20131110130991,70,1,34,-1,0,4,-1,0,43,43,-1
20131110130991,80,1,42,-1,0,5,-1,60,43,43,-1
20131110130991,85,4,39,3,0,6,-1,60,43,43,42
20131110131025,76,4,33,5,0,2,-1,0,0,0,0
20131110131034,73,3,24,-1,1,2,2,0,0,0,-1
20131110131055,62,4,20,3,1,2,2,0,0,0,0
20131110131057,71,4,41,2,0,2,-1,0,0,0,0
20131110131061,80,4,34,4,0,2,-1,0,0,0,0
20131110131099,75,4,24,5,1,5,5,0,0,0,0
20131110131113,80,4,34,17,0,4,-1,60,0,0,0
20131110131133,85,3,47,-1,0,3,-1,60,0,0,-1
20131110131184,80,1,33,-1,0,3,-1,60,0,0,-1
20131110131189,80,4,33,5,0,4,-1,60,0,0,0
20131110131189,38,4,22,2,1,2,2,0,0,0,0
20131110131241,69,4,33,2,0,3,-1,0,0,0,0
20131110131241,75,4,34,4,0,4,-1,0,0,0,0
20131110131241,80,1,43,-1,0,5,-1,0,0,0,-1
20131110131264,71,1,47,-1,0,7,-1,0,0,0,-1
20131110131264,73,1,56,-1,0,8,-1,0,0,0,-1
20131110131308,68,2,43,-1,0,2,-1,0,0,0,-1
20131110131309,80,4,33,2,0,2,-1,60,0,0,0
20131110131320,78,4,20,2,1,2,2,0,0,0,0
20131110131321,85,4,47,15,0,5,-1,60,0,0,0
20131110131356,72,4,33,5,0,5,-1,0,0,0,0
20131110131393,85,4,33,4,0,4,-1,60,0,0,0
20131110131396,78,3,47,-1,0,4,-1,0,0,0,-1
20131110131403,79,4,38,4,0,2,-1,0,0,0,0
20131110131403,77,4,37,4,0,3,-1,0,0,0,0
20131110131403,80,3,43,-1,0,4,-1,60,0,0,-1
20131110131406,85,1,24,-1,1,3,3,0,0,0,-1
20131110131411,80,3,44,-1,0,7,-1,60,0,0,-1
20131110131431,56,4,33,2,0,4,-1,0,0,0,0
20131110131431,51,1,42,-1,0,5,-1,0,0,0,-1
20131110131431,76,4,47,12,0,6,-1,0,0,0,0
20131110131431,79,4,47,12,0,7,-1,0,0,0,0
20131110131474,85,4,42,2,0,2,-1,60,0,0,0
20131110131480,85,4,33,2,0,4,-1,60,0,0,0
20131110131482,70,4,44,2,0,2,-1,42,0,0,0
20131110131506,85,4,33,30,0,3,-1,60,0,0,0
20131110131506,80,2,43,-1,0,4,-1,60,0,0,-1
20131110131528,76,1,56,-1,0,5,-1,0,0,0,-1
20131110131534,85,4,39,2,0,3,-1,60,0,0,0
20131110131593,70,1,40,-1,0,5,-1,0,0,0,-1
20131110131617,66,4,20,13,1,2,2,0,0,0,0
20131110131629,85,1,43,-1,0,2,-1,60,0,0,-1
20131110131629,63,1,43,-1,0,3,-1,0,0,0,-1
20131110131632,85,4,28,2,1,2,2,0,0,0,0
20131110131662,85,4,33,7,0,2,-1,60,0,0,0
20131110131665,54,4,39,4,0,7,-1,0,0,0,0
20131110131694,75,1,48,-1,0,6,-1,0,0,0,-1
20131110131702,85,1,47,-1,0,4,-1,60,0,0,-1
20131110131719,80,4,49,10,0,3,-1,0,0,0,0
20131110131732,78,4,33,3,0,4,-1,0,0,0,0
20131110131732,70,3,39,-1,0,5,-1,0,0,0,-1
20131110131762,85,4,40,3,0,3,-1,60,0,0,0
20131110131795,76,1,20,-1,1,2,2,0,0,0,-1
20131110131808,85,1,20,-1,1,2,2,0,0,0,-1
20131110131825,71,1,38,-1,0,2,-1,0,0,0,-1
20131110131857,80,1,34,-1,0,3,-1,0,0,0,-1
20131110131886,85,4,33,12,0,2,-1,60,0,0,0
20131110131898,68,4,24,2,1,2,2,0,0,0,0
20131110131920,85,1,43,-1,0,2,-1,0,0,0,-1
20131110131923,80,4,20,2,1,2,2,0,0,0,0
20131110131927,85,4,49,3,0,2,-1,60,0,0,0
20131110131935,85,4,41,2,0,2,-1,60,0,0,0
20131110131967,85,4,25,17,1,2,2,0,0,0,0
20131110131967,85,4,25,4,1,3,3,0,0,0,0
20131110131969,85,4,33,24,0,3,-1,60,0,0,0
20131110131969,76,3,43,-1,0,4,-1,0,0,0,-1
20131110131983,85,4,49,6,0,3,-1,60,0,0,0
20131110131983,80,4,43,3,0,4,-1,0,0,0,0
20131110131983,52,3,43,-1,0,5,-1,0,0,0,-1
20131110131989,80,4,44,9,0,3,-1,60,0,0,0
20131110131997,76,4,47,10,0,2,-1,0,0,0,0
20131110131999,67,2,47,-1,0,5,-1,0,0,0,-1
20131110132008,85,4,43,2,0,2,-1,60,0,0,0
20131110132009,80,3,39,-1,0,7,-1,61,43,43,-1
20131110132009,85,4,26,3,1,6,6,0,0,0,43
20131110132013,80,4,33,3,0,3,-1,60,0,0,0
20131110132013,80,4,34,3,0,4,-1,60,0,0,0
20131110132013,70,4,43,10,0,5,-1,0,0,0,0
20131110132013,70,4,43,10,0,6,-1,0,0,0,0
20131110132013,70,4,43,10,0,7,-1,0,0,0,0
20131110132019,85,4,33,5,0,3,-1,60,0,0,0
20131110132019,85,4,34,5,0,4,-1,60,0,0,0
20131110132019,66,4,38,5,0,5,-1,0,0,0,0
20131110132043,78,4,25,9,1,2,2,0,0,0,0
20131110132057,76,4,33,3,0,6,-1,0,0,0,0
20131110132086,85,4,49,3,0,6,-1,60,0,0,0
20131110132101,85,4,39,20,0,3,-1,60,0,0,0
20131110132113,80,4,34,9,0,5,-1,60,0,0,0
20131110132113,77,4,33,9,0,6,-1,0,0,0,0
20131110132135,80,4,44,10,0,4,-1,60,0,0,0
20131110132137,85,4,39,4,0,3,-1,60,0,0,0
20131110132156,80,4,20,31,1,2,2,0,0,0,0
20131110132234,67,4,49,8,0,3,-1,0,0,0,0
20131110132257,85,4,33,20,0,2,-1,60,0,0,0
20131110132267,73,4,44,4,0,2,-1,0,0,0,0
20131110132287,85,4,24,5,1,2,2,0,0,0,0
